student_id,course_id,grade
5,2,46
5,10,68
5,7,38
5,9,51
5,1,86
71,1,86
71,5,81
71,7,60
71,6,74
71,9,74
71,8,57
72,7,97
72,6,88
72,9,71
72,4,75
72,5,78
22,4,44
22,8,71
22,10,64
111,5,59
111,2,70
63,4,100
63,2,84
63,1,66
29,9,83
29,1,95
29,3,88
99,1,75
99,9,65
99,6,85
114,3,80
114,8,88
114,6,84
114,9,90
114,4,66
114,7,94
100,9,77
1,8,100
1,2,64
108,10,100
108,9,77
108,1,65
108,6,67
108,3,70
108,4,81
108,2,82
12,2,66
12,4,74
12,6,100
12,9,100
12,3,81
61,4,75
61,5,76
61,7,84
53,2,59
53,1,71
53,7,49
53,3,80
82,8,84
82,1,67
82,7,98
82,3,56
6,9,53
47,7,78
47,4,90
47,6,100
47,2,68
47,1,91
47,9,74
66,8,72
66,2,88
66,6,84
66,10,51
66,7,97
66,1,95
66,9,65
44,5,80
44,8,82
44,6,78
85,10,66
85,7,64
90,2,74
90,9,92
90,6,83
90,7,69
90,10,86
33,2,32
33,4,92
33,5,48
14,2,69
14,4,58
14,7,55
102,9,92
102,3,67
102,10,80
102,8,74
102,1,82
102,5,76
9,2,55
9,1,89
9,7,67
9,4,51
9,6,68
9,8,97
9,5,87
79,2,69
79,4,69
79,9,70
57,5,100
57,6,80
57,9,81
57,2,90
57,10,78
57,8,71
57,7,72
8,1,73
8,2,74
8,4,85
8,5,75
8,3,85
19,4,73
19,7,76
19,9,45
19,3,88
19,1,80
19,10,89
105,7,31
105,5,100
98,10,72
98,2,91
37,8,59
37,2,84
37,4,59
37,1,65
37,6,100
37,10,72
49,7,78
49,2,88
49,8,82
4,5,77
4,7,80
4,3,100
4,4,74
4,9,78
4,6,90
110,1,91
110,2,92
110,7,84
106,8,57
106,7,99
106,1,57
106,10,79
106,9,63
15,9,74
15,1,79
15,10,79
15,4,81
15,8,99
15,5,81
52,3,71
52,8,89
52,7,92
52,2,56
52,10,83
52,4,85
52,5,70
52,1,95
45,8,72
45,7,76
45,6,72
45,3,75
56,10,58
56,1,53
56,6,98
56,4,62
56,9,60
56,7,42
56,3,65
96,6,55
96,3,99
96,1,90
67,10,64
67,7,100
67,3,89
67,1,70
94,4,37
94,8,100
78,5,54
78,6,50
78,2,90
78,4,100
78,1,95
78,8,83
18,2,83
18,6,87
18,5,86
18,8,79
18,9,76
18,4,74
11,4,63
11,7,70
11,9,49
11,5,73
26,8,60
26,4,58
26,7,77
26,9,95
26,10,88
20,6,51
20,7,60
20,3,89
93,3,60
93,5,71
93,4,83
93,2,60
91,7,76
91,1,54
91,2,65
91,9,79
91,3,51
91,6,81
68,1,74
38,6,83
38,2,78
38,7,95
38,8,76
38,10,68
38,9,76
95,5,83
95,8,75
95,2,75
95,9,64
95,10,65
95,1,53
95,3,100
62,4,56
62,5,64
62,8,64
62,10,88
84,6,70
84,9,93
84,7,64
25,6,79
25,8,62
25,7,100
28,1,57
28,8,79
28,3,84
28,6,81
113,5,72
113,10,73
42,5,75
42,10,72
35,7,89
35,2,100
35,3,66
35,6,54
35,8,73
35,1,100
35,9,62
46,3,99
46,1,100
46,7,66
46,2,83
118,10,99
118,7,69
118,6,71
118,4,66
65,5,59
65,3,65
70,4,56
70,2,75
87,1,63
87,7,78
87,9,51
77,2,79
77,4,87
77,9,45
77,10,80
77,3,93
21,4,56
21,7,100
21,3,81
21,10,64
21,2,74
21,1,83
21,8,76
89,7,83
89,4,61
89,10,77
89,6,53
64,10,73
64,5,61
64,7,63
64,4,93
64,3,91
112,6,84
112,8,58
112,3,70
112,9,93
54,5,77
54,3,100
54,8,80
43,8,77
43,3,70
43,10,77
43,1,72
43,2,85
43,7,89
43,4,63
109,9,55
109,10,47
109,4,82
109,1,58
109,2,42
109,5,80
101,1,100
101,3,74
101,4,87
101,10,76
101,2,73
101,7,88
36,6,70
36,1,79
76,1,79
76,6,64
76,9,89
76,10,72
74,1,63
74,5,83
74,7,61
81,5,75
81,3,74
81,4,91
81,7,82
81,8,74
