student_id,course_id,action,date
45,1,download,2026-03-12
70,7,forum_post,2026-03-14
21,2,download,2026-03-15
96,7,submission,2026-03-08
48,2,download,2026-03-12
74,7,submission,2026-03-07
11,1,view,2026-03-06
110,4,quiz_attempt,2026-03-03
22,3,video_watch,2026-03-14
40,3,forum_post,2026-03-12
60,5,download,2026-03-10
42,1,login,2026-03-15
101,8,submission,2026-03-09
60,7,submission,2026-03-06
99,1,login,2026-03-08
116,10,login,2026-03-06
65,5,quiz_attempt,2026-03-14
5,2,quiz_attempt,2026-03-05
114,10,view,2026-03-04
37,6,login,2026-03-08
95,7,quiz_attempt,2026-03-07
24,3,video_watch,2026-03-13
74,1,login,2026-03-09
43,4,submission,2026-03-13
40,7,view,2026-03-02
82,10,video_watch,2026-03-13
36,7,download,2026-03-11
87,6,download,2026-03-13
76,3,submission,2026-03-11
4,7,video_watch,2026-03-15
113,2,quiz_attempt,2026-03-10
100,1,view,2026-03-15
63,6,login,2026-03-03
87,6,login,2026-03-12
101,5,video_watch,2026-03-05
3,9,submission,2026-03-08
44,3,download,2026-03-15
25,4,download,2026-03-01
95,8,video_watch,2026-03-04
1,2,quiz_attempt,2026-03-15
81,5,submission,2026-03-12
47,6,forum_post,2026-03-08
75,10,video_watch,2026-03-04
65,6,login,2026-03-02
113,10,submission,2026-03-09
89,8,download,2026-03-14
77,4,login,2026-03-03
84,5,login,2026-03-10
93,5,view,2026-03-08
49,7,submission,2026-03-02
79,4,login,2026-03-12
62,6,download,2026-03-01
14,2,forum_post,2026-03-12
25,8,view,2026-03-02
24,4,download,2026-03-02
93,2,login,2026-03-05
1,7,submission,2026-03-09
26,3,forum_post,2026-03-02
84,8,video_watch,2026-03-09
11,9,submission,2026-03-02
100,10,forum_post,2026-03-07
8,9,quiz_attempt,2026-03-07
95,3,quiz_attempt,2026-03-13
48,1,submission,2026-03-11
63,1,view,2026-03-14
56,10,forum_post,2026-03-04
37,2,quiz_attempt,2026-03-05
64,4,login,2026-03-07
22,1,view,2026-03-04
32,3,download,2026-03-07
87,6,forum_post,2026-03-01
93,3,view,2026-03-05
12,2,quiz_attempt,2026-03-13
65,1,submission,2026-03-07
91,1,login,2026-03-06
11,5,quiz_attempt,2026-03-12
108,10,view,2026-03-01
12,7,submission,2026-03-15
37,4,video_watch,2026-03-12
89,3,view,2026-03-03
111,5,login,2026-03-01
77,4,video_watch,2026-03-10
40,3,forum_post,2026-03-03
32,6,submission,2026-03-03
114,2,forum_post,2026-03-12
53,1,video_watch,2026-03-02
90,4,quiz_attempt,2026-03-09
24,4,view,2026-03-10
12,4,view,2026-03-11
64,6,view,2026-03-09
74,2,video_watch,2026-03-04
76,4,forum_post,2026-03-10
3,6,video_watch,2026-03-14
26,5,quiz_attempt,2026-03-03
52,5,view,2026-03-09
5,5,video_watch,2026-03-13
95,10,submission,2026-03-07
9,3,quiz_attempt,2026-03-10
79,7,submission,2026-03-04
58,3,forum_post,2026-03-01
70,6,view,2026-03-07
48,8,forum_post,2026-03-15
37,5,forum_post,2026-03-10
63,6,view,2026-03-10
