student_id,course_id,grade
78,4,77
78,6,67
78,3,82
78,7,58
78,8,85
78,1,81
42,2,70
42,10,62
42,3,61
84,8,83
84,2,93
84,10,65
84,4,81
84,7,43
84,9,66
81,3,74
81,1,61
81,5,60
100,1,64
100,7,79
100,4,72
100,3,41
61,6,43
61,5,65
61,1,81
9,9,33
9,2,67
9,7,67
1,7,95
1,6,69
1,3,80
114,5,77
114,10,43
114,7,86
114,1,78
114,9,82
3,8,100
3,9,43
3,1,100
18,2,70
18,3,79
18,5,74
18,10,68
74,10,66
74,3,79
74,9,52
74,5,86
93,3,68
93,5,58
93,1,68
93,6,93
93,4,66
93,10,80
113,2,64
113,10,86
113,7,85
113,5,100
62,10,72
62,9,85
75,4,76
75,10,94
77,8,64
77,7,86
77,9,72
77,1,74
77,6,76
88,2,78
88,10,73
88,3,78
88,8,98
21,4,89
21,7,88
21,10,68
32,7,61
32,6,89
32,8,88
14,1,97
14,6,65
14,7,71
14,10,50
14,8,69
28,7,89
28,10,68
28,3,84
28,1,72
28,6,79
90,5,57
90,1,76
56,10,30
56,5,72
56,7,50
68,9,93
68,3,86
68,7,82
68,5,97
106,4,60
106,7,100
106,5,88
106,8,71
106,6,92
106,1,58
44,3,62
44,6,65
44,4,67
44,5,59
70,8,93
70,9,71
22,6,80
22,2,66
22,7,47
22,4,79
22,9,46
22,5,73
64,5,54
64,3,100
64,9,88
64,1,76
64,6,93
43,3,62
43,7,83
43,5,77
43,2,78
43,9,94
43,6,85
26,6,79
26,5,50
26,3,60
26,9,73
66,3,76
66,1,58
66,10,100
66,2,97
66,8,84
6,5,76
6,2,71
6,6,60
12,5,76
12,1,78
12,9,56
12,8,80
12,4,72
12,10,46
57,8,62
57,10,68
57,3,100
110,3,83
110,8,54
110,7,82
110,10,51
71,6,91
71,4,67
71,8,73
102,8,94
102,2,55
102,7,54
5,5,66
5,2,90
5,10,52
5,6,32
5,3,68
105,10,83
105,4,93
105,7,68
105,2,68
105,5,92
105,8,46
79,8,69
79,4,77
95,5,81
95,1,67
19,2,75
19,10,37
19,9,65
58,6,81
58,5,60
60,8,75
60,4,81
60,10,69
60,2,77
38,5,60
38,7,71
38,3,84
38,10,77
38,1,66
38,8,78
38,9,85
38,6,44
118,3,92
118,6,69
118,1,81
118,5,92
101,2,54
101,4,64
101,10,70
101,7,63
35,1,100
35,3,62
35,6,66
35,7,78
35,9,56
35,5,69
91,2,79
91,3,70
91,1,73
91,6,67
55,3,52
55,7,79
47,4,100
47,9,75
30,8,78
30,1,85
30,3,55
30,7,100
85,6,78
85,1,99
85,2,64
96,4,100
96,5,86
96,6,83
96,9,78
96,8,71
37,6,93
37,8,77
45,10,45
45,7,58
89,6,72
89,7,79
89,2,74
108,1,93
108,10,45
108,7,77
108,5,47
29,5,86
29,3,73
29,2,81
29,10,62
29,9,94
65,6,90
65,10,83
65,1,73
65,2,83
116,6,64
116,5,87
116,3,99
116,4,91
116,2,64
15,3,80
15,4,55
15,9,83
15,7,81
15,1,46
15,5,57
15,8,70
24,9,70
24,7,56
24,5,80
24,2,78
24,10,72
24,6,63
76,6,90
76,9,99
76,8,67
76,3,65
76,5,82
76,2,69
50,7,72
50,3,86
50,1,46
50,6,94
112,8,76
112,1,68
112,3,73
112,9,74
112,4,49
112,7,97
