student_id,course_id,action,date
68,2,video_watch,2025-03-03
96,7,login,2025-03-24
79,3,download,2025-03-02
4,2,submission,2025-03-12
64,1,quiz_attempt,2025-03-20
35,6,login,2025-03-19
90,4,view,2025-03-22
98,4,video_watch,2025-03-04
26,9,quiz_attempt,2025-03-04
66,10,view,2025-03-26
64,9,video_watch,2025-03-27
11,10,forum_post,2025-03-27
71,1,view,2025-03-09
35,6,quiz_attempt,2025-03-01
24,3,download,2025-03-22
45,2,view,2025-03-24
11,2,forum_post,2025-03-17
54,7,submission,2025-03-15
1,3,quiz_attempt,2025-03-10
95,10,download,2025-03-03
46,3,view,2025-03-25
46,2,quiz_attempt,2025-03-15
64,8,download,2025-03-15
114,5,view,2025-03-25
47,2,quiz_attempt,2025-03-14
3,5,forum_post,2025-03-22
84,9,forum_post,2025-03-10
58,4,submission,2025-03-20
25,1,view,2025-03-10
54,3,video_watch,2025-03-09
7,6,login,2025-03-01
62,7,view,2025-03-05
116,9,forum_post,2025-03-08
90,9,video_watch,2025-03-22
61,2,submission,2025-03-28
58,7,login,2025-03-15
85,6,download,2025-03-14
45,7,quiz_attempt,2025-03-04
45,1,quiz_attempt,2025-03-06
88,6,login,2025-03-14
82,4,submission,2025-03-19
45,9,login,2025-03-13
35,6,view,2025-03-11
103,2,download,2025-03-21
3,9,download,2025-03-07
26,6,forum_post,2025-03-31
22,4,login,2025-03-05
42,4,view,2025-03-20
118,2,view,2025-03-31
62,8,video_watch,2025-03-19
12,10,forum_post,2025-03-21
95,6,view,2025-03-15
68,8,submission,2025-03-21
50,5,download,2025-03-02
61,9,login,2025-03-10
67,8,login,2025-03-02
79,5,login,2025-03-21
96,10,download,2025-03-17
14,8,download,2025-03-18
58,8,video_watch,2025-03-19
44,6,download,2025-03-16
90,3,login,2025-03-15
82,6,forum_post,2025-03-03
90,3,login,2025-03-08
6,8,download,2025-03-17
19,6,quiz_attempt,2025-03-30
5,7,submission,2025-03-25
1,10,login,2025-03-26
4,2,quiz_attempt,2025-03-04
14,5,quiz_attempt,2025-03-24
118,6,login,2025-03-19
22,6,quiz_attempt,2025-03-31
36,3,download,2025-03-23
48,5,download,2025-03-13
4,3,forum_post,2025-03-23
56,2,forum_post,2025-03-22
64,9,quiz_attempt,2025-03-01
113,5,view,2025-03-31
54,6,video_watch,2025-03-16
44,4,view,2025-03-05
85,5,video_watch,2025-03-26
102,9,video_watch,2025-03-18
56,1,forum_post,2025-03-11
105,10,submission,2025-03-05
19,3,video_watch,2025-03-23
103,8,login,2025-03-14
113,4,submission,2025-03-20
5,8,view,2025-03-18
78,5,video_watch,2025-03-26
29,4,quiz_attempt,2025-03-22
6,8,video_watch,2025-03-10
116,9,download,2025-03-14
19,4,video_watch,2025-03-20
18,5,login,2025-03-21
98,6,download,2025-03-30
82,9,video_watch,2025-03-04
5,2,video_watch,2025-03-06
71,8,download,2025-03-05
9,2,view,2025-03-27
12,6,login,2025-03-14
46,7,download,2025-03-12
78,7,login,2025-03-12
106,1,quiz_attempt,2025-03-30
102,6,video_watch,2025-03-05
18,1,quiz_attempt,2025-03-30
29,3,video_watch,2025-03-23
29,8,download,2025-03-01
48,1,quiz_attempt,2025-03-07
118,9,forum_post,2025-03-20
56,7,login,2025-03-25
5,4,quiz_attempt,2025-03-04
46,4,submission,2025-03-21
88,2,login,2025-03-27
62,10,download,2025-03-01
47,10,view,2025-03-23
22,5,submission,2025-03-01
61,4,download,2025-03-14
24,2,download,2025-03-12
68,9,download,2025-03-17
90,9,login,2025-03-13
29,1,forum_post,2025-03-13
79,5,forum_post,2025-03-01
61,2,quiz_attempt,2025-03-08
82,10,forum_post,2025-03-25
4,3,login,2025-03-12
100,6,video_watch,2025-03-21
99,8,forum_post,2025-03-16
24,3,login,2025-03-23
88,1,quiz_attempt,2025-03-07
58,4,login,2025-03-11
35,9,submission,2025-03-27
100,8,quiz_attempt,2025-03-02
44,5,quiz_attempt,2025-03-28
46,6,quiz_attempt,2025-03-04
79,7,submission,2025-03-24
6,7,quiz_attempt,2025-03-06
62,8,quiz_attempt,2025-03-30
15,5,video_watch,2025-03-03
64,2,submission,2025-03-20
24,9,quiz_attempt,2025-03-11
82,2,quiz_attempt,2025-03-22
7,5,submission,2025-03-20
64,3,forum_post,2025-03-15
26,8,login,2025-03-24
61,10,submission,2025-03-09
25,2,forum_post,2025-03-21
45,6,download,2025-03-26
19,1,view,2025-03-28
6,1,view,2025-03-03
78,6,quiz_attempt,2025-03-13
40,10,view,2025-03-22
12,6,quiz_attempt,2025-03-15
85,10,view,2025-03-17
113,7,quiz_attempt,2025-03-21
66,4,login,2025-03-01
24,8,download,2025-03-13
87,5,video_watch,2025-03-09
12,4,download,2025-03-10
84,4,login,2025-03-05
85,8,view,2025-03-29
6,2,video_watch,2025-03-22
65,6,forum_post,2025-03-03
37,9,quiz_attempt,2025-03-29
50,3,forum_post,2025-03-23
99,6,download,2025-03-08
87,4,video_watch,2025-03-05
78,8,login,2025-03-12
