student_id,course_id,grade
61,4,90
61,10,77
61,6,54
61,5,68
61,9,76
68,10,68
68,3,71
108,3,73
108,4,73
108,5,75
108,9,59
114,1,64
114,8,55
114,6,89
114,4,43
114,5,92
56,6,95
56,2,70
56,8,35
11,8,69
11,2,74
11,6,59
11,4,67
11,3,97
11,7,84
11,9,61
67,8,51
67,2,70
67,7,71
98,1,82
98,3,66
98,9,82
98,8,100
98,7,87
20,8,74
20,7,72
20,9,69
40,3,92
40,8,65
40,6,75
40,2,75
90,10,67
90,4,54
90,5,79
90,8,74
57,5,82
57,9,66
57,7,93
23,4,61
23,1,100
23,3,48
15,10,81
15,7,82
52,4,63
52,6,81
52,10,94
52,1,41
9,7,82
9,5,37
19,4,60
19,7,99
19,3,66
19,10,57
19,6,72
19,2,100
64,8,47
64,6,59
64,10,97
48,3,100
48,1,73
48,2,56
48,8,100
48,6,98
102,2,85
102,1,62
118,7,74
118,9,72
118,1,79
118,8,96
118,3,88
118,2,58
118,5,95
12,7,79
12,4,85
12,8,96
1,5,58
1,9,74
75,7,67
75,4,51
75,2,80
3,9,100
3,1,47
35,3,74
35,6,84
35,9,76
32,3,73
32,8,55
32,10,78
103,7,63
103,4,42
7,1,92
7,3,89
7,7,75
7,4,78
7,8,91
81,10,78
81,8,88
81,5,70
81,9,94
43,10,79
43,1,77
43,4,55
43,8,79
25,10,62
46,4,65
46,1,62
46,5,59
46,8,100
66,10,94
66,3,100
66,1,56
18,10,76
18,1,55
18,8,64
18,5,61
55,4,93
55,7,69
55,5,91
58,4,84
58,5,100
58,7,52
74,1,93
74,4,92
74,3,60
99,10,90
99,3,80
99,1,71
99,8,62
99,2,64
99,6,100
99,4,75
49,10,86
49,5,63
49,2,63
44,3,91
44,10,54
44,7,68
44,2,75
44,6,76
109,9,72
109,7,80
109,4,85
109,1,86
109,2,60
109,6,70
109,3,92
77,6,88
77,3,54
77,5,80
77,1,45
77,2,75
111,6,100
111,5,60
94,5,62
94,4,86
94,6,51
94,9,65
94,8,83
110,9,65
110,4,71
110,6,86
63,2,81
63,3,79
63,1,69
63,9,80
42,10,73
42,9,81
42,7,67
42,3,72
42,1,60
42,8,74
42,6,62
6,9,58
6,6,78
6,4,78
6,7,86
6,10,68
6,5,81
6,2,83
6,8,81
76,3,62
76,6,77
76,9,80
76,7,75
76,5,43
76,1,77
88,7,100
88,3,69
88,5,64
88,4,80
88,8,79
88,10,92
105,3,56
105,1,85
24,3,83
24,4,72
24,6,80
8,4,90
8,3,88
8,2,57
8,10,87
8,9,74
8,1,76
87,4,76
87,9,72
87,3,92
87,2,73
87,7,58
95,7,69
95,10,77
72,6,93
72,5,84
71,8,62
71,7,100
71,3,78
78,1,94
78,10,72
78,6,83
78,4,87
84,2,93
84,4,90
84,7,88
4,2,70
4,7,66
4,5,79
4,9,88
91,10,71
91,7,90
91,9,96
91,2,61
53,5,62
53,2,72
29,8,79
29,1,67
29,2,95
29,7,81
29,4,75
29,5,53
29,10,55
116,2,79
116,10,43
116,9,90
16,1,72
16,3,100
16,7,100
113,10,72
113,1,73
113,5,89
113,6,100
113,2,50
113,8,48
60,6,65
60,10,83
60,8,82
60,9,91
60,3,57
60,1,40
101,8,87
101,9,62
101,2,44
101,3,77
30,2,86
30,5,73
30,4,68
30,8,72
30,9,69
85,6,54
85,9,64
85,2,82
85,10,79
85,1,77
28,10,60
28,1,72
28,2,42
28,4,77
28,6,96
22,7,52
22,5,66
22,2,79
22,3,93
22,4,68
22,8,64
38,1,45
38,7,76
38,6,100
62,9,79
62,3,74
33,10,79
33,5,74
33,2,62
33,9,87
33,7,78
