student_id,course_id,grade
75,9,75
75,3,81
75,10,89
75,8,59
96,5,82
96,3,70
96,2,87
96,4,43
96,7,73
96,9,65
116,9,81
116,1,82
116,3,64
55,5,64
55,4,73
55,10,61
55,2,87
55,3,69
50,8,31
40,5,69
40,4,59
40,9,50
40,10,56
40,8,76
40,2,94
40,1,79
9,4,65
9,9,81
9,10,68
9,1,64
9,2,57
9,5,48
28,1,69
28,5,77
28,4,73
28,9,68
28,2,60
45,8,84
45,10,55
45,5,86
45,9,59
101,10,63
101,6,52
101,7,67
101,2,89
58,3,82
58,10,89
58,1,82
33,3,58
33,1,70
33,6,63
33,2,94
33,7,57
110,6,88
110,7,88
110,2,100
110,4,68
110,8,85
14,1,100
14,7,65
14,9,51
14,10,46
109,6,85
109,4,46
109,9,69
109,10,81
109,7,77
37,2,81
37,3,78
37,7,94
91,5,60
91,9,64
91,6,63
91,3,87
91,8,88
91,4,81
88,9,92
88,1,57
88,7,100
88,3,97
88,2,86
88,10,100
43,6,50
43,9,67
43,10,63
76,5,85
76,2,59
76,7,86
76,6,95
76,9,85
76,8,79
26,4,60
26,3,62
26,1,93
38,4,86
38,3,74
5,3,68
5,7,44
5,5,58
5,8,100
5,6,55
5,9,77
35,7,90
35,10,56
35,1,77
35,6,89
35,9,75
35,2,100
44,4,49
44,3,90
44,10,72
44,6,86
21,3,81
21,7,64
21,10,78
21,4,47
7,4,84
7,9,79
7,7,84
7,6,90
87,3,80
87,8,77
87,2,61
87,4,64
47,4,92
47,3,96
47,1,71
71,8,75
71,3,61
11,7,92
11,6,84
11,1,100
4,2,61
4,5,69
4,4,78
4,7,84
4,1,71
4,9,61
15,10,88
15,9,85
15,4,61
15,5,95
15,6,92
15,3,77
99,7,76
99,10,83
99,8,62
99,4,75
99,5,42
99,9,88
99,1,51
56,6,97
56,10,70
56,4,71
106,5,65
106,3,70
106,4,96
106,9,37
106,7,94
106,2,80
106,6,56
74,10,58
74,8,100
74,6,60
74,7,57
74,3,92
53,5,80
53,2,60
53,4,78
53,7,59
53,8,91
53,3,90
63,5,82
63,9,80
63,1,100
63,3,74
63,7,57
63,6,81
79,2,100
79,1,59
79,3,69
79,4,81
23,1,74
23,3,60
23,5,91
23,7,100
23,6,77
90,6,61
90,8,51
90,5,78
29,8,91
29,2,82
29,9,74
29,3,66
29,4,58
29,10,87
66,7,88
66,10,51
66,9,98
36,4,83
57,1,95
57,5,54
57,4,54
103,1,72
103,10,82
103,6,100
103,4,85
103,3,71
103,5,59
84,5,93
84,7,60
84,4,99
84,3,70
81,8,98
81,3,85
114,4,72
114,9,67
94,5,69
94,8,81
94,10,76
8,4,66
8,5,72
8,8,76
8,3,43
8,2,81
8,1,60
98,4,57
98,2,49
98,3,48
98,6,54
52,8,64
52,4,100
52,3,67
112,9,77
112,10,81
112,4,76
112,5,73
112,3,57
111,5,96
111,3,100
111,6,49
111,2,59
111,8,70
111,9,60
111,7,82
25,1,64
25,6,100
25,8,92
25,10,78
25,3,90
25,4,91
25,2,66
60,2,62
60,8,76
60,1,87
60,10,77
60,6,51
60,4,62
61,1,73
61,9,73
61,10,100
61,5,54
113,9,82
113,8,97
113,5,100
113,7,68
113,2,82
77,9,83
77,7,77
77,3,73
77,8,81
77,6,37
48,4,85
48,6,76
48,10,71
48,8,100
48,5,64
48,9,68
48,3,100
64,7,62
64,10,66
64,5,72
64,1,87
64,9,78
30,5,55
30,6,67
30,1,65
30,10,73
30,7,81
30,9,81
65,1,48
65,4,90
65,7,78
49,10,95
49,3,81
49,4,91
22,8,81
22,6,95
22,2,82
22,5,73
22,3,100
22,4,88
22,7,83
102,10,55
102,2,55
118,1,79
118,3,77
118,9,65
19,9,77
19,2,98
19,10,85
19,7,57
6,4,73
93,10,62
93,6,69
20,8,68
20,10,67
54,10,56
54,4,73
54,9,66
54,7,31
54,3,100
54,1,91
32,1,69
32,6,75
32,4,57
32,2,100
32,9,100
32,10,77
