student_id,course_id,grade
43,3,84
43,9,57
43,8,71
43,4,74
43,2,83
43,5,85
43,6,63
43,7,76
40,10,81
40,4,96
40,2,85
40,1,86
60,2,76
60,1,96
60,7,81
55,1,62
55,3,96
55,7,85
55,8,68
55,2,67
100,1,79
100,8,81
100,3,77
100,7,79
100,6,100
100,9,91
54,9,77
54,10,89
54,3,59
54,7,80
54,8,100
54,6,71
54,4,62
15,10,65
15,6,58
15,2,63
57,4,69
57,3,53
57,1,75
57,7,88
81,10,61
81,2,97
81,4,82
81,8,90
45,1,65
45,7,87
82,9,58
82,1,88
82,10,77
82,2,83
82,8,57
82,5,61
24,7,83
24,8,60
24,9,81
24,10,54
24,4,87
24,3,56
24,5,83
63,10,84
63,6,64
63,3,83
63,1,78
114,2,66
114,9,59
114,10,45
89,4,80
89,3,51
89,9,76
89,2,71
89,5,85
89,6,70
20,3,70
20,7,85
38,4,80
64,10,79
64,8,82
64,4,51
64,7,86
103,7,84
103,8,59
44,4,71
44,5,74
44,6,72
44,3,80
79,10,96
79,7,91
37,5,55
37,10,84
37,6,94
52,8,80
52,4,91
52,6,100
52,3,90
52,2,78
52,9,90
52,10,77
58,1,75
58,6,69
58,5,98
58,7,62
58,3,97
58,2,82
8,10,54
8,7,80
8,9,43
8,6,84
8,3,88
8,4,66
109,5,76
49,2,100
26,9,67
26,1,59
26,4,97
101,8,100
101,4,75
7,10,90
7,6,95
7,8,63
7,7,67
7,5,93
108,7,100
108,9,83
108,10,61
74,7,100
74,6,67
74,3,69
74,4,80
88,7,98
88,2,87
88,4,81
88,1,81
88,5,75
33,9,83
33,7,37
18,6,70
99,1,78
99,7,57
99,5,80
76,4,71
76,6,100
76,8,98
48,5,68
48,2,72
48,9,73
66,7,68
66,3,77
66,6,63
66,9,58
66,2,84
85,3,84
85,7,62
106,1,88
91,3,65
91,5,78
68,2,87
68,10,74
68,8,81
28,4,67
28,7,72
28,1,71
62,2,63
62,10,72
62,3,51
3,6,67
3,3,70
3,8,71
3,4,71
3,5,74
3,10,82
3,9,88
61,1,65
61,3,56
61,4,59
61,8,67
61,9,69
65,2,63
50,9,55
50,1,68
50,2,77
118,5,83
118,9,66
110,8,68
110,4,61
110,7,74
110,9,62
110,2,83
11,8,48
11,7,69
6,7,79
6,2,77
6,4,100
6,5,80
5,3,59
5,10,73
5,4,48
22,6,73
22,1,62
22,10,88
22,5,66
22,4,73
53,10,65
9,9,100
9,10,70
9,5,100
32,1,87
32,3,82
32,10,80
32,8,80
32,7,46
32,2,70
21,5,87
21,6,74
21,2,53
21,9,74
87,2,100
87,6,93
105,7,74
105,8,89
105,4,69
105,2,49
46,8,61
46,4,98
46,5,70
46,2,71
46,3,70
1,9,100
1,6,99
1,1,100
1,10,72
1,5,79
1,7,52
47,8,97
47,1,57
47,6,78
47,10,58
47,2,66
47,3,62
47,4,65
42,6,66
42,3,66
42,10,87
98,4,58
98,9,78
98,5,93
98,10,67
35,3,64
35,6,71
35,4,92
